"","Date","Total Generation (MWh)"
"1","2008/01","59082501.0"
"2","2008/02","55885424.0"
"3","2008/03","55068839.0"
"4","2008/04","48248631.0"
"5","2008/05","45495615.0"
"6","2008/06","44966961.0"
"7","2008/07","49424948.0"
"8","2008/08","48066719.0"
"9","2008/09","43684551.0"
"10","2008/10","46570962.0"
"11","2008/11","48214813.0"
"12","2008/12","56568724.0"
"13","2009/01","59539341.0"
"14","2009/02","51232146.0"
"15","2009/03","52223235.0"
"16","2009/04","44174117.0"
"17","2009/05","43092495.0"
"18","2009/06","42537244.0"
"19","2009/07","44943777.0"
"20","2009/08","46021395.0"
"21","2009/09","42530088.0"
"22","2009/10","47357167.0"
"23","2009/11","46814279.0"
"24","2009/12","57035235.0"
"25","2010/01","58679092.0"
"26","2010/02","51859976.0"
"27","2010/03","51129869.0"
"28","2010/04","44237908.0"
"29","2010/05","42653259.0"
"30","2010/06","42534130.0"
"31","2010/07","45298282.0"
"32","2010/08","43655176.0"
"33","2010/09","39913848.0"
"34","2010/10","42988948.0"
"35","2010/11","47537822.0"
"36","2010/12","56271377.0"
"37","2011/01","58717825.0"
"38","2011/02","52013676.0"
"39","2011/03","53713281.0"
"40","2011/04","46647271.0"
"41","2011/05","45489643.0"
"42","2011/06","43112968.0"
"43","2011/07","47874247.0"
"44","2011/08","47165459.0"
"45","2011/09","43300252.0"
"46","2011/10","45060611.0"
"47","2011/11","47515941.0"
"48","2011/12","54839638.0"
"49","2012/01","58104035.0"
"50","2012/02","51934746.0"
"51","2012/03","51614413.0"
"52","2012/04","46417982.0"
"53","2012/05","45932634.0"
"54","2012/06","44614478.0"
"55","2012/07","48825024.0"
"56","2012/08","48144767.0"
"57","2012/09","43676149.0"
"58","2012/10","48163383.0"
"59","2012/11","51625924.0"
"60","2012/12","55821469.0"
"61","2013/01","59931424.0"
"62","2013/02","53351007.0"
"63","2013/03","54263640.0"
"64","2013/04","48104442.0"
"65","2013/05","46197094.0"
"66","2013/06","45784142.0"
"67","2013/07","48848397.0"
"68","2013/08","48397125.0"
"69","2013/09","44729414.0"
"70","2013/10","47727959.0"
"71","2013/11","52969116.0"
"72","2013/12","60400808.0"
"73","2014/01","60251049.0"
"74","2014/02","53553403.0"
"75","2014/03","55854771.0"
"76","2014/04","47648737.0"
"77","2014/05","45241004.0"
"78","2014/06","44156323.0"
"79","2014/07","46718490.0"
"80","2014/08","47448094.0"
"81","2014/09","44715421.0"
"82","2014/10","45033527.0"
"83","2014/11","51679130.0"
"84","2014/12","57625402.0"
"85","2015/01","60976764.0"
"86","2015/02","55306305.0"
"87","2015/03","55274560.0"
"88","2015/04","47738184.0"
"89","2015/05","44559705.0"
"90","2015/06","44340191.0"
"91","2015/07","46765949.0"
"92","2015/08","46555243.0"
"93","2015/09","43653195.0"
"94","2015/10","44733343.0"
"95","2015/11","48985388.0"
"96","2015/12","53866923.0"
"1249","2008/01","4860095.0"
"1250","2008/02","4565932.0"
"1251","2008/03","4798140.0"
"1252","2008/04","3649896.0"
"1253","2008/05","3587598.0"
"1254","2008/06","2668100.0"
"1255","2008/07","2913320.0"
"1256","2008/08","2641281.0"
"1257","2008/09","2785740.0"
"1258","2008/10","3295596.0"
"1259","2008/11","3422065.0"
"1260","2008/12","3974139.0"
"1261","2009/01","4174723.0"
"1262","2009/02","3706629.0"
"1263","2009/03","4082102.0"
"1264","2009/04","3268823.0"
"1265","2009/05","2754027.0"
"1266","2009/06","2099416.0"
"1267","2009/07","2100107.0"
"1268","2009/08","2090623.0"
"1269","2009/09","2368218.0"
"1270","2009/10","3031030.0"
"1271","2009/11","3532499.0"
"1272","2009/12","4170523.0"
"1273","2010/01","4578617.0"
"1274","2010/02","4186964.0"
"1275","2010/03","4277349.0"
"1276","2010/04","3020566.0"
"1277","2010/05","3098603.0"
"1278","2010/06","2750914.0"
"1279","2010/07","2734144.0"
"1280","2010/08","2672683.0"
"1281","2010/09","2347658.0"
"1282","2010/10","2687392.0"
"1283","2010/11","4039645.0"
"1284","2010/12","4366539.0"
"1285","2011/01","4532635.0"
"1286","2011/02","4362632.0"
"1287","2011/03","4483891.0"
"1288","2011/04","3620003.0"
"1289","2011/05","2810111.0"
"1290","2011/06","2402302.0"
"1291","2011/07","2503374.0"
"1292","2011/08","2559293.0"
"1293","2011/09","2474056.0"
"1294","2011/10","3045872.0"
"1295","2011/11","3829681.0"
"1296","2011/12","4086384.0"
"1297","2012/01","4532470.0"
"1298","2012/02","4301875.0"
"1299","2012/03","4298149.0"
"1300","2012/04","3433214.0"
"1301","2012/05","3194575.0"
"1302","2012/06","3204432.0"
"1303","2012/07","3096636.0"
"1304","2012/08","2769332.0"
"1305","2012/09","2765484.0"
"1306","2012/10","2870901.0"
"1307","2012/11","3983262.0"
"1308","2012/12","4536116.0"
"1309","2013/01","4860999.0"
"1310","2013/02","4336105.0"
"1311","2013/03","4441412.0"
"1312","2013/04","3346047.0"
"1313","2013/05","2971447.0"
"1314","2013/06","2108901.0"
"1315","2013/07","3058268.0"
"1316","2013/08","2708784.0"
"1317","2013/09","2516242.0"
"1318","2013/10","2961517.0"
"1319","2013/11","4106535.0"
"1320","2013/12","4726504.0"
"1321","2014/01","4741686.0"
"1322","2014/02","4141536.0"
"1323","2014/03","4809148.0"
"1324","2014/04","3172289.0"
"1325","2014/05","2679141.0"
"1326","2014/06","1962423.0"
"1327","2014/07","2265288.0"
"1328","2014/08","2066514.0"
"1329","2014/09","2271396.0"
"1330","2014/10","2796747.0"
"1331","2014/11","4150277.0"
"1332","2014/12","4689615.0"
"1333","2015/01","4943603.0"
"1334","2015/02","4495085.0"
"1335","2015/03","4854214.0"
"1336","2015/04","3345653.0"
"1337","2015/05","2927314.0"
"1338","2015/06","2432385.0"
"1339","2015/07","2483953.0"
"1340","2015/08","2456943.0"
"1341","2015/09","2177383.0"
"1342","2015/10","3074156.0"
"1343","2015/11","4066568.0"
"1344","2015/12","4440899.0"
"2209","2008/01","11321.0"
"2210","2008/02","10175.0"
"2211","2008/03","8896.0"
"2212","2008/04","5275.0"
"2213","2008/05","4689.0"
"2214","2008/06","4808.0"
"2215","2008/07","4382.0"
"2216","2008/08","7241.0"
"2217","2008/09","9137.0"
"2218","2008/10","12765.0"
"2219","2008/11","10883.0"
"2220","2008/12","16447.0"
"2221","2009/01","13157.0"
"2222","2009/02","11665.0"
"2223","2009/03","10719.0"
"2224","2009/04","11300.0"
"2225","2009/05","9684.0"
"2226","2009/06","6915.0"
"2227","2009/07","6111.0"
"2228","2009/08","6489.0"
"2229","2009/09","8910.0"
"2230","2009/10","10783.0"
"2231","2009/11","10886.0"
"2232","2009/12","13057.0"
"2233","2010/01","12803.0"
"2234","2010/02","10646.0"
"2235","2010/03","10841.0"
"2236","2010/04","33235.0"
"2237","2010/05","36623.0"
"2238","2010/06","24378.0"
"2239","2010/07","24648.0"
"2240","2010/08","14643.0"
"2241","2010/09","35300.0"
"2242","2010/10","51367.0"
"2243","2010/11","48306.0"
"2244","2010/12","51420.0"
"2245","2011/01","46261.0"
"2246","2011/02","47396.0"
"2247","2011/03","53503.0"
"2248","2011/04","45704.0"
"2249","2011/05","41644.0"
"2250","2011/06","22887.0"
"2251","2011/07","9820.0"
"2252","2011/08","9088.0"
"2253","2011/09","9784.0"
"2254","2011/10","14093.0"
"2255","2011/11","16062.0"
"2256","2011/12","16916.0"
"2257","2012/01","15972.0"
"2258","2012/02","13714.0"
"2259","2012/03","14876.0"
"2260","2012/04","13322.0"
"2261","2012/05","9546.0"
"2262","2012/06","11717.0"
"2263","2012/07","20131.0"
"2264","2012/08","6008.0"
"2265","2012/09","13035.0"
"2266","2012/10","16182.0"
"2267","2012/11","12852.0"
"2268","2012/12","17617.0"
"2269","2013/01","19882.0"
"2270","2013/02","13111.0"
"2271","2013/03","12534.0"
"2272","2013/04","13743.0"
"2273","2013/05","14096.0"
"2274","2013/06","8759.0"
"2275","2013/07","8345.0"
"2276","2013/08","8895.0"
"2277","2013/09","12653.0"
"2278","2013/10","11507.0"
"2279","2013/11","14631.0"
"2280","2013/12","16065.0"
"2281","2014/01","21691.0"
"2282","2014/02","16941.0"
"2283","2014/03","22058.0"
"2284","2014/04","25807.0"
"2285","2014/05","13948.0"
"2286","2014/06","15536.0"
"2287","2014/07","20655.0"
"2288","2014/08","14990.0"
"2289","2014/09","22057.0"
"2290","2014/10","22010.0"
"2291","2014/11","25411.0"
"2292","2014/12","28202.0"
"2293","2015/01","27457.0"
"2294","2015/02","25628.0"
"2295","2015/03","26858.0"
"2296","2015/04","20200.0"
"2297","2015/05","21181.0"
"2298","2015/06","20013.0"
"2299","2015/07","13022.0"
"2300","2015/08","15824.0"
"2301","2015/09","21347.0"
"2302","2015/10","29013.0"
"2303","2015/11","28371.0"
"2304","2015/12","24287.0"
"3169","2008/01","1189005.0"
"3170","2008/02","1094188.0"
"3171","2008/03","1182614.0"
"3172","2008/04","1026632.0"
"3173","2008/05","958470.0"
"3174","2008/06","903208.0"
"3175","2008/07","938108.0"
"3176","2008/08","926693.0"
"3177","2008/09","920681.0"
"3178","2008/10","957342.0"
"3179","2008/11","961475.0"
"3180","2008/12","1105984.0"
"3181","2009/01","1208129.0"
"3182","2009/02","1064731.0"
"3183","2009/03","1108859.0"
"3184","2009/04","940134.0"
"3185","2009/05","950387.0"
"3186","2009/06","829085.0"
"3187","2009/07","862224.0"
"3188","2009/08","862574.0"
"3189","2009/09","759802.0"
"3190","2009/10","918842.0"
"3191","2009/11","937267.0"
"3192","2009/12","1166828.0"
"3193","2010/01","1218426.0"
"3194","2010/02","1069071.0"
"3195","2010/03","1080096.0"
