"Ref_Date","Value"
"2008/01","59082501.0"
"2008/02","55885424.0"
"2008/03","55068839.0"
"2008/04","48248631.0"
"2008/05","45495615.0"
"2008/06","44966961.0"
"2008/07","49424948.0"
"2008/08","48066719.0"
"2008/09","43684551.0"
"2008/10","46570962.0"
"2008/11","48214813.0"
"2008/12","56568724.0"
"2009/01","59539341.0"
"2009/02","51232146.0"
"2009/03","52223235.0"
"2009/04","44174117.0"
"2009/05","43092495.0"
"2009/06","42537244.0"
"2009/07","44943777.0"
"2009/08","46021395.0"
"2009/09","42530088.0"
"2009/10","47357167.0"
"2009/11","46814279.0"
"2009/12","57035235.0"
"2010/01","58679092.0"
"2010/02","51859976.0"
"2010/03","51129869.0"
"2010/04","44237908.0"
"2010/05","42653259.0"
"2010/06","42534130.0"
"2010/07","45298282.0"
"2010/08","43655176.0"
"2010/09","39913848.0"
"2010/10","42988948.0"
"2010/11","47537822.0"
"2010/12","56271377.0"
"2011/01","58717825.0"
"2011/02","52013676.0"
"2011/03","53713281.0"
"2011/04","46647271.0"
"2011/05","45489643.0"
"2011/06","43112968.0"
"2011/07","47874247.0"
"2011/08","47165459.0"
"2011/09","43300252.0"
"2011/10","45060611.0"
"2011/11","47515941.0"
"2011/12","54839638.0"
"2012/01","58104035.0"
"2012/02","51934746.0"
"2012/03","51614413.0"
"2012/04","46417982.0"
"2012/05","45932634.0"
"2012/06","44614478.0"
"2012/07","48825024.0"
"2012/08","48144767.0"
"2012/09","43676149.0"
"2012/10","48163383.0"
"2012/11","51625924.0"
"2012/12","55821469.0"
"2013/01","59931424.0"
"2013/02","53351007.0"
"2013/03","54263640.0"
"2013/04","48104442.0"
"2013/05","46197094.0"
"2013/06","45784142.0"
"2013/07","48848397.0"
"2013/08","48397125.0"
"2013/09","44729414.0"
"2013/10","47727959.0"
"2013/11","52969116.0"
"2013/12","60400808.0"
"2014/01","60251049.0"
"2014/02","53553403.0"
"2014/03","55854771.0"
"2014/04","47648737.0"
"2014/05","45241004.0"
"2014/06","44156323.0"
"2014/07","46718490.0"
"2014/08","47448094.0"
"2014/09","44715421.0"
"2014/10","45033527.0"
"2014/11","51679130.0"
"2014/12","57625402.0"
"2015/01","60976764.0"
"2015/02","55306305.0"
"2015/03","55274560.0"
"2015/04","47738184.0"
"2015/05","44559705.0"
"2015/06","44340191.0"
"2015/07","46765949.0"
"2015/08","46555243.0"
"2015/09","43653195.0"
"2015/10","44733343.0"
"2015/11","48985388.0"
"2015/12","53866923.0"
