"Ref_Date","Value"
"2008/01","1391169.0"
"2008/02","1411545.0"
"2008/03","2003497.0"
"2008/04","1915680.0"
"2008/05","2809124.0"
"2008/06","3464696.0"
"2008/07","2053489.0"
"2008/08","1381673.0"
"2008/09","1841723.0"
"2008/10","2003055.0"
"2008/11","2047542.0"
"2008/12","1569298.0"
"2009/01","2439724.0"
"2009/02","1559257.0"
"2009/03","1673849.0"
"2009/04","1451687.0"
"2009/05","1350757.0"
"2009/06","1557408.0"
"2009/07","1446128.0"
"2009/08","1350557.0"
"2009/09","1356274.0"
"2009/10","1318493.0"
"2009/11","1251268.0"
"2009/12","1516945.0"
"2010/01","1204844.0"
"2010/02","1012372.0"
"2010/03","1294529.0"
"2010/04","1263209.0"
"2010/05","1721865.0"
"2010/06","1515995.0"
"2010/07","1418305.0"
"2010/08","1806949.0"
"2010/09","2356975.0"
"2010/10","2097231.0"
"2010/11","1744539.0"
"2010/12","1216150.0"
"2011/01","1560658.0"
"2011/02","1490752.0"
"2011/03","1505577.0"
"2011/04","1567236.0"
"2011/05","1221910.0"
"2011/06","1243839.0"
"2011/07","1145486.0"
"2011/08","909230.0"
"2011/09","981278.0"
"2011/10","905612.0"
"2011/11","1094044.0"
"2011/12","922171.0"
"2012/01","900778.0"
"2012/02","838173.0"
"2012/03","1164406.0"
"2012/04","1220108.0"
"2012/05","1106350.0"
"2012/06","1148079.0"
"2012/07","917393.0"
"2012/08","756043.0"
"2012/09","832463.0"
"2012/10","704450.0"
"2012/11","765585.0"
"2012/12","1038440.0"
"2013/01","981973.0"
"2013/02","788236.0"
"2013/03","894360.0"
"2013/04","1191649.0"
"2013/05","901011.0"
"2013/06","722220.0"
"2013/07","926856.0"
"2013/08","791665.0"
"2013/09","668991.0"
"2013/10","914856.0"
"2013/11","846985.0"
"2013/12","1055892.0"
"2014/01","1246040.0"
"2014/02","1256663.0"
"2014/03","1901031.0"
"2014/04","1300754.0"
"2014/05","1132256.0"
"2014/06","1008558.0"
"2014/07","993624.0"
"2014/08","826275.0"
"2014/09","729600.0"
"2014/10","731940.0"
"2014/11","907413.0"
"2014/12","783652.0"
"2015/01","782742.0"
"2015/02","1322142.0"
"2015/03","910845.0"
"2015/04","552064.0"
"2015/05","576268.0"
"2015/06","593855.0"
"2015/07","614025.0"
"2015/08","623946.0"
"2015/09","675607.0"
"2015/10","606010.0"
"2015/11","628022.0"
"2015/12","772454.0"
