"Month","Canada","Alberta","British Columbia","Ontario","Manitoba","Northwest Territories","Nova Scotia","New Brunswick","Prince Edward Island","Quebec","Saskatchewan","Nunavut","Newfoundland and Labrador","Yukon"
"2008/01","59082501.0","5338240.0","6866052.0","14870199.0","3116287.0","63467.0","1189005.0","1710816.0","11321.0","19170108.0","1833426.0","14686.0","4860095.0","38799.0"
"2008/02","55885424.0","4875988.0","5965305.0","13850896.0","2904007.0","60939.0","1094188.0","1477493.0","10175.0","19387186.0","1644253.0","13731.0","4565932.0","35331.0"
"2008/03","55068839.0","5084025.0","5590121.0","13723104.0","2840818.0","61610.0","1182614.0","1420732.0","8896.0","18745780.0","1566650.0","14171.0","4798140.0","32178.0"
"2008/04","48248631.0","4676745.0","5100531.0","12678291.0","2737492.0","55580.0","1026632.0","1131123.0","5275.0","15671767.0","1474208.0","12732.0","3649896.0","28359.0"
"2008/05","45495615.0","4849844.0","4686053.0","12481142.0","2673353.0","51363.0","958470.0","879923.0","4689.0","13834635.0","1450248.0","11999.0","3587598.0","26298.0"
"2008/06","44966961.0","4433025.0","4311805.0","13192192.0","2537017.0","47511.0","903208.0","883683.0","4808.0","14378476.0","1569941.0","11126.0","2668100.0","26069.0"
"2008/07","49424948.0","4958492.0","5584863.0","14390793.0","3090132.0","52764.0","938108.0","1024782.0","4382.0","14790878.0","1639600.0","11033.0","2913320.0","25801.0"
"2008/08","48066719.0","4917882.0","5532975.0","13792514.0","3207923.0","50576.0","926693.0","1132025.0","7241.0","14217588.0","1601085.0","11884.0","2641281.0","27052.0"
"2008/09","43684551.0","4580929.0","4783774.0","12301574.0","2980874.0","53243.0","920681.0","794336.0","9137.0","13051507.0","1386954.0","11920.0","2785740.0","23882.0"
"2008/10","46570962.0","4858021.0","5375265.0","12337737.0","3048771.0","60027.0","957342.0","1023743.0","12765.0","14066823.0","1491958.0","13398.0","3295596.0","29516.0"
"2008/11","48214813.0","4838468.0","5334162.0","12179895.0","3068291.0","61340.0","961475.0","1237122.0","10883.0","15518440.0","1534055.0","13712.0","3422065.0","34905.0"
"2008/12","56568724.0","5107434.0","6722946.0","13722325.0","2939454.0","67187.0","1105984.0","1440404.0","16447.0","19652234.0","1763555.0","14871.0","3974139.0","41744.0"
"2009/01","59539341.0","5152885.0","6252324.0","14545047.0","2940851.0","66572.0","1208129.0","1563381.0","13157.0","21466207.0","2099703.0","14880.0","4174723.0","41482.0"
"2009/02","51232146.0","4880139.0","5429038.0","12249895.0","2601810.0","57552.0","1064731.0","1099770.0","11665.0","18292444.0","1785320.0","13212.0","3706629.0","39941.0"
"2009/03","52223235.0","5151017.0","5355695.0","13035258.0","2699671.0","64895.0","1108859.0","1215664.0","10719.0","17594694.0","1854900.0","14410.0","4082102.0","35351.0"
"2009/04","44174117.0","4792791.0","4616738.0","10927584.0","2588726.0","57446.0","940134.0","1283802.0","11300.0","14038211.0","1603832.0","13316.0","3268823.0","31414.0"
"2009/05","43092495.0","4669426.0","4802020.0","10791532.0","2720206.0","54263.0","950387.0","1075835.0","9684.0","13579674.0","1641996.0","12803.0","2754027.0","30642.0"
"2009/06","42537244.0","4666433.0","4166757.0","11585680.0","2676328.0","52583.0","829085.0","869828.0","6915.0","13927509.0","1618413.0","11459.0","2099416.0","26838.0"
"2009/07","44943777.0","4907592.0","4927856.0","11896537.0","2955439.0","49651.0","862224.0","1010569.0","6111.0","14495122.0","1693432.0","11439.0","2100107.0","27698.0"
"2009/08","46021395.0","4951129.0","4850973.0","12370088.0","2941331.0","48826.0","862574.0","918082.0","6489.0","15225412.0","1716217.0","12031.0","2090623.0","27620.0"
"2009/09","42530088.0","4801191.0","4400771.0","10788546.0","2757313.0","50003.0","759802.0","755554.0","8910.0","14097156.0","1700811.0","12559.0","2368218.0","29254.0"
"2009/10","47357167.0","4958316.0","4826405.0","10909386.0","3171417.0","59429.0","918842.0","1015016.0","10783.0","16659836.0","1750605.0","13900.0","3031030.0","32202.0"
"2009/11","46814279.0","4758380.0","5467961.0","11181286.0","2895520.0","55488.0","937267.0","1084180.0","10886.0","15015737.0","1822261.0","14839.0","3532499.0","37975.0"
"2009/12","57035235.0","5487269.0","7104927.0","13637486.0","2872157.0","60705.0","1166828.0","1159223.0","13057.0","19229375.0","2074256.0","15435.0","4170523.0","43994.0"
"2010/01","58679092.0","5337934.0","6638425.0","13731878.0","2946329.0","67019.0","1218426.0","1043724.0","12803.0","20994084.0","2055071.0","15753.0","4578617.0","39029.0"
"2010/02","51859976.0","4809534.0","5720025.0","12072844.0","2625975.0","49000.0","1069071.0","977802.0","10646.0","18442877.0","1842498.0","14033.0","4186964.0","38707.0"
"2010/03","51129869.0","5073123.0","5105717.0","12075216.0","2802760.0","51224.0","1080096.0","1022241.0","10841.0","17671866.0","1908503.0","16160.0","4277349.0","34773.0"
