"","Ref_Date","GEO","COMPONENTS","Value"
"7777","2008/01","Ontario","Total generation","14870199.0"
"7778","2008/02","Ontario","Total generation","13850896.0"
"7779","2008/03","Ontario","Total generation","13723104.0"
"7780","2008/04","Ontario","Total generation","12678291.0"
"7781","2008/05","Ontario","Total generation","12481142.0"
"7782","2008/06","Ontario","Total generation","13192192.0"
"7783","2008/07","Ontario","Total generation","14390793.0"
"7784","2008/08","Ontario","Total generation","13792514.0"
"7785","2008/09","Ontario","Total generation","12301574.0"
"7786","2008/10","Ontario","Total generation","12337737.0"
"7787","2008/11","Ontario","Total generation","12179895.0"
"7788","2008/12","Ontario","Total generation","13722325.0"
"7789","2009/01","Ontario","Total generation","14545047.0"
"7790","2009/02","Ontario","Total generation","12249895.0"
"7791","2009/03","Ontario","Total generation","13035258.0"
"7792","2009/04","Ontario","Total generation","10927584.0"
"7793","2009/05","Ontario","Total generation","10791532.0"
"7794","2009/06","Ontario","Total generation","11585680.0"
"7795","2009/07","Ontario","Total generation","11896537.0"
"7796","2009/08","Ontario","Total generation","12370088.0"
"7797","2009/09","Ontario","Total generation","10788546.0"
"7798","2009/10","Ontario","Total generation","10909386.0"
"7799","2009/11","Ontario","Total generation","11181286.0"
"7800","2009/12","Ontario","Total generation","13637486.0"
"7801","2010/01","Ontario","Total generation","13731878.0"
"7802","2010/02","Ontario","Total generation","12072844.0"
"7803","2010/03","Ontario","Total generation","12075216.0"
"7804","2010/04","Ontario","Total generation","10300763.0"
"7805","2010/05","Ontario","Total generation","10397213.0"
"7806","2010/06","Ontario","Total generation","11345202.0"
"7807","2010/07","Ontario","Total generation","12392196.0"
"7808","2010/08","Ontario","Total generation","12028914.0"
"7809","2010/09","Ontario","Total generation","11059735.0"
"7810","2010/10","Ontario","Total generation","11243073.0"
"7811","2010/11","Ontario","Total generation","11257174.0"
"7812","2010/12","Ontario","Total generation","13342863.0"
"7813","2011/01","Ontario","Total generation","13491946.0"
"7814","2011/02","Ontario","Total generation","11306554.0"
"7815","2011/03","Ontario","Total generation","12021618.0"
"7816","2011/04","Ontario","Total generation","11138199.0"
"7817","2011/05","Ontario","Total generation","11643671.0"
"7818","2011/06","Ontario","Total generation","11282364.0"
"7819","2011/07","Ontario","Total generation","12719648.0"
"7820","2011/08","Ontario","Total generation","12056468.0"
"7821","2011/09","Ontario","Total generation","10814757.0"
"7822","2011/10","Ontario","Total generation","10851400.0"
"7823","2011/11","Ontario","Total generation","10601293.0"
"7824","2011/12","Ontario","Total generation","11868363.0"
"7825","2012/01","Ontario","Total generation","12184798.0"
"7826","2012/02","Ontario","Total generation","11191009.0"
"7827","2012/03","Ontario","Total generation","11849582.0"
"7828","2012/04","Ontario","Total generation","10987177.0"
"7829","2012/05","Ontario","Total generation","11591640.0"
"7830","2012/06","Ontario","Total generation","11751264.0"
"7831","2012/07","Ontario","Total generation","12496489.0"
"7832","2012/08","Ontario","Total generation","11803400.0"
"7833","2012/09","Ontario","Total generation","10478331.0"
"7834","2012/10","Ontario","Total generation","11611753.0"
"7835","2012/11","Ontario","Total generation","12350431.0"
"7836","2012/12","Ontario","Total generation","12881577.0"
"7837","2013/01","Ontario","Total generation","13487609.0"
"7838","2013/02","Ontario","Total generation","11618200.0"
"7839","2013/03","Ontario","Total generation","12250783.0"
"7840","2013/04","Ontario","Total generation","11826684.0"
"7841","2013/05","Ontario","Total generation","12102462.0"
"7842","2013/06","Ontario","Total generation","12172373.0"
"7843","2013/07","Ontario","Total generation","13118089.0"
"7844","2013/08","Ontario","Total generation","12941911.0"
"7845","2013/09","Ontario","Total generation","11778903.0"
"7846","2013/10","Ontario","Total generation","12221484.0"
"7847","2013/11","Ontario","Total generation","12655891.0"
"7848","2013/12","Ontario","Total generation","13338404.0"
"7849","2014/01","Ontario","Total generation","13206706.0"
"7850","2014/02","Ontario","Total generation","11502235.0"
"7851","2014/03","Ontario","Total generation","12312545.0"
"7852","2014/04","Ontario","Total generation","11265569.0"
"7853","2014/05","Ontario","Total generation","12023172.0"
"7854","2014/06","Ontario","Total generation","12146589.0"
"7855","2014/07","Ontario","Total generation","12418915.0"
"7856","2014/08","Ontario","Total generation","12514403.0"
"7857","2014/09","Ontario","Total generation","12441607.0"
"7858","2014/10","Ontario","Total generation","12174062.0"
"7859","2014/11","Ontario","Total generation","12761836.0"
"7860","2014/12","Ontario","Total generation","13383973.0"
"7861","2015/01","Ontario","Total generation","13602164.0"
"7862","2015/02","Ontario","Total generation","12153121.0"
"7863","2015/03","Ontario","Total generation","13222284.0"
"7864","2015/04","Ontario","Total generation","11645090.0"
"7865","2015/05","Ontario","Total generation","11870180.0"
"7866","2015/06","Ontario","Total generation","11908548.0"
"7867","2015/07","Ontario","Total generation","12536353.0"
"7868","2015/08","Ontario","Total generation","11770646.0"
"7869","2015/09","Ontario","Total generation","10308391.0"
"7870","2015/10","Ontario","Total generation","9717057.0"
"7871","2015/11","Ontario","Total generation","11975998.0"
"7872","2015/12","Ontario","Total generation","12389373.0"
"7873","2008/01","Ontario","Total receipts","728483.0"
"7874","2008/02","Ontario","Total receipts","796243.0"
"7875","2008/03","Ontario","Total receipts","849093.0"
"7876","2008/04","Ontario","Total receipts","946714.0"
"7877","2008/05","Ontario","Total receipts","1255366.0"
"7878","2008/06","Ontario","Total receipts","1258720.0"
"7879","2008/07","Ontario","Total receipts","1118562.0"
"7880","2008/08","Ontario","Total receipts","542243.0"
"7881","2008/09","Ontario","Total receipts","726935.0"
"7882","2008/10","Ontario","Total receipts","699629.0"
